Price,Close,Volume,Adj_Close,Returns,MA_7,MA_30,RSI,Volatility
Ticker,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,
1981-01-26,0.1439729928970337,24640000,0.11026416718959808,-0.015266706754017756,0.11044731416872569,0.10705894554654757,50.0,0.029080066170088095
1981-01-27,0.14285700023174286,23699200,0.10940948873758316,-0.007751189473415354,0.11093571675675255,0.10742934619386992,56.00009670282872,0.028758064686959864
1981-01-28,0.13839299976825714,28156800,0.10599067062139511,-0.031247912366979658,0.11001996908869062,0.10785672639807066,53.84621746278148,0.02903779592481152
1981-01-29,0.1333709955215454,43904000,0.10214442759752274,-0.036288505406399274,0.10904316710574287,0.10838384504119555,39.18920033238301,0.02940896875039441
1981-01-30,0.12611599266529083,46188800,0.09658807516098022,-0.0543970196635305,0.10696733849389213,0.10865452761451404,34.11684039382577,0.030987181938806892
1981-02-02,0.11886200308799744,23766400,0.09103250503540039,-0.05751817826704331,0.10391471002783094,0.10865452761451404,32.583531015731666,0.03271615095044021
1981-02-03,0.12332600355148315,19152000,0.09445131570100784,0.03755593306234917,0.10141152143478394,0.10858330229918162,37.499257695585634,0.03347034853435944
1981-02-04,0.12779000401496887,27865600,0.09787017107009888,0.03619701158969191,0.09964095056056976,0.10846934194366137,39.39321791596102,0.03371612689355812
1981-02-05,0.12779000401496887,7929600,0.09787017107009888,0.0,0.097992476608072,0.1082129048804442,40.20541476114176,0.03348182389831218
1981-02-06,0.1283479928970337,13865600,0.09829746931791306,0.0043659701739779955,0.09689344785043172,0.10778552467624346,30.119816864597055,0.03085794681746509
1981-02-09,0.12165199965238571,16755200,0.09316926449537277,-0.05217026295920879,0.09561128169298172,0.1068452941874663,28.735081227019037,0.03263676166041555
1981-02-10,0.12165199965238571,18345600,0.09316926449537277,0.0,0.0951228801693235,0.10584808215498924,24.38959985304473,0.031954728063917956
1981-02-11,0.11774600297212601,13843200,0.09017781168222427,-0.03210772167571496,0.09500078111886978,0.10485087285439174,19.76698526852421,0.032426481557949
1981-02-12,0.11662899702787399,14560000,0.08932233601808548,-0.009486542733520564,0.09426806973559516,0.1039391095439593,19.539333677996467,0.03178212437113502
1981-02-13,0.11383900046348572,11155200,0.08718553930521011,-0.023922311127674956,0.09274169376918248,0.10291338314612707,19.317317569167173,0.03196950969577094
1981-02-17,0.11662899702787399,12275200,0.08932233601808548,0.02450861381260827,0.0915205744760377,0.10204435636599858,24.174846709214776,0.028684354588033242
1981-02-18,0.12165199965238571,19241600,0.09316926449537277,0.04306793405524445,0.09078797378710338,0.10147452627619108,33.695571845940265,0.030705572020066046
1981-02-19,0.11439699679613113,22310400,0.08761286735534668,-0.05963766237847734,0.08999420276709966,0.10087617908914884,32.29108462229773,0.03212328270917499
1981-02-20,0.10825899988412857,24371200,0.08291199058294296,-0.05365509558473369,0.08852887792246682,0.10019236107667287,32.978708606894926,0.03297825397977657
1981-02-23,0.10993299633264542,14112000,0.08419407159090042,0.015463155557396746,0.08767405790942055,0.09936609541376432,40.475712646466796,0.033585325215985534
1981-02-24,0.10602699965238571,16979200,0.08120259642601013,-0.03553071027881738,0.08651409511055265,0.09846860120693843,31.325438867881644,0.03394156381354708
1981-02-25,0.11272300034761429,19488000,0.08633086830377579,0.06315403821401722,0.08639199925320488,0.09787025476495424,34.48269919733349,0.03814094613218851
1981-02-26,0.11439699679613113,10841600,0.08761286735534668,0.014849833863130657,0.0861477894442422,0.09730039760470391,36.666377404379766,0.038250897653666356
1981-02-27,0.11830399930477142,14761600,0.09060513973236084,0.034153343764881994,0.08578148590666908,0.09675905704498292,40.625747368310186,0.03882321753962442
1981-03-02,0.11886200308799744,11760000,0.09103250503540039,0.004716788741808031,0.08627000557524818,0.09626045152544975,47.059088941150605,0.03709691128141091
1981-03-03,0.1171879991889,16172800,0.08975045382976532,-0.014083444206401952,0.08724692889622279,0.09550543650984764,45.45494705684137,0.03490052877998666
1981-03-04,0.11607100069522858,13708800,0.08889493346214294,-0.009532212162905451,0.08791848059211459,0.09483586624264717,48.19182064658649,0.03379534512138144
1981-03-05,0.11551299691200256,5376000,0.08846759796142578,-0.0048071974866727984,0.08895633795431682,0.09408082365989685,48.780554175470684,0.032546013587821394
1981-03-06,0.11439699679613113,11603200,0.08761286735534668,-0.009661510267881201,0.0891394806759698,0.09325455576181411,50.63281418774816,0.03254689701049583
1981-03-09,0.1054690033197403,15321600,0.08077524602413177,-0.07804357439281584,0.08816267762865339,0.09221460943420728,38.8897616061441,0.03629715768624092
1981-03-10,0.10044600069522858,28380800,0.07692825794219971,-0.047625829338641346,0.08620883737291608,0.091103412459294,28.88858370734752,0.03602680150581389
1981-03-11,0.09653999656438828,29859200,0.0739368200302124,-0.038886073752442574,0.08376659665788923,0.08992099016904831,30.9525944189174,0.036565964933078
1981-03-12,0.10044600069522858,59248000,0.07692825794219971,0.04045938019467066,0.081934854388237,0.0889522430797418,41.24944459371499,0.03792115700248189
1981-03-13,0.09933000057935715,231302400,0.07607357949018478,-0.011110071576781122,0.08010323239224297,0.0880832148094972,37.974339408131925,0.03792799020800417
1981-03-16,0.10323700308799744,37228800,0.07906579971313477,0.03933323820178658,0.07876011835677284,0.08749913896123568,46.83568130232287,0.039089092822217994
1981-03-17,0.10825899988412857,43747200,0.08291199058294296,0.04864544321012221,0.07808856453214373,0.08722845514615377,44.73724894716077,0.04037181067084767
1981-03-18,0.11495500057935715,36937600,0.08804025501012802,0.06185190333905788,0.07912642295871462,0.08701475312312444,50.58823263999482,0.04169517619657262
1981-03-19,0.11383900046348572,37811200,0.08718553930521011,-0.009708237496808492,0.08059174886771611,0.08665859873096148,44.99920352653607,0.039499278961838524
1981-03-20,0.11495500057935715,14604800,0.08804025501012802,0.009803411342399482,0.08260652529341835,0.08633093486229579,45.67817616328733,0.03741390433997868
1981-03-23,0.11941999942064285,22019200,0.09145981818437576,0.038840904923030495,0.08468246247087206,0.08610301315784455,52.32532282608409,0.03815942676540861
1981-03-24,0.11886200308799744,28156800,0.09103250503540039,-0.004672140809573233,0.08681945183447429,0.08603178784251213,52.94210784953143,0.037048836359911415
1981-03-25,0.11662899702787399,7056000,0.08932233601808548,-0.018786355672074095,0.08828467130661011,0.08590355689326921,51.136316137192736,0.034909424877607835
1981-03-26,0.11439699679613113,12275200,0.08761286735534668,-0.019138199233758035,0.08895622513123921,0.08581805874903997,50.0,0.03509246271791571
1981-03-27,0.11049100011587143,12252800,0.08462145924568176,-0.03414347914824134,0.08846782573631831,0.08566136285662651,55.5551298998413,0.03497705047707671
1981-03-30,0.11049100011587143,9900800,0.08462145924568176,0.0,0.08810152858495712,0.0855758935213089,62.50049635698188,0.034939386984914896
1981-03-31,0.109375,15993600,0.08376670628786087,-0.010100900710531158,0.08749102162463325,0.08539070586363474,67.16417172588947,0.034884580313019616
1981-04-01,0.10825899988412857,34070400,0.08291199058294296,-0.010203525276268,0.08626990339585713,0.08504879673322042,61.290838669768945,0.03489165627354138
1981-04-02,0.11774600297212601,31404800,0.09017781168222427,0.0876329352147538,0.0861478043454034,0.08513429487744967,71.42893366423561,0.04032499925532793
1981-04-03,0.11830399930477142,16486400,0.09060513973236084,0.004738727211993421,0.08633106201887131,0.08539073318243026,69.01393649515316,0.040239471057563175
1981-04-06,0.11607100069522858,22803200,0.08889493346214294,-0.01887537809962747,0.0865142143198422,0.08554742857813835,60.60488004325326,0.035957770083584015
1981-04-07,0.11495500057935715,10684800,0.08804025501012802,-0.009614478786677982,0.0870026137147631,0.08577535053094228,50.0,0.03395624451762167
1981-04-08,0.12053599953651428,21952000,0.09231453388929367,0.048549142419838986,0.08810162437813622,0.08597480605045954,59.37507490232737,0.03331903997024273
1981-04-09,0.12276799976825714,12499200,0.09402395039796829,0.018517306394295385,0.08956694496529442,0.08618850881854694,60.60595896004505,0.032676419180401255
1981-04-10,0.12444200366735458,33465600,0.09530606120824814,0.013636002368047073,0.09133752648319517,0.08634520620107651,57.37628883656066,0.03227805100113621
1981-04-13,0.12444200366735458,16060800,0.09530606120824814,0.0,0.09207013355834144,0.08648765807350477,58.3323527779642,0.03170637443656287
1981-04-14,0.12444200366735458,6652800,0.09530606120824814,0.0,0.09274169376918248,0.08667284498612086,62.500373553414406,0.030413012796160765
1981-04-15,0.11830399930477142,34048000,0.09060513973236084,-0.04932447544564422,0.09298600895064217,0.08672985186179479,55.556548635296295,0.030098404519017654
1981-04-16,0.11160700023174286,23878400,0.0854761153459549,-0.05660853679555711,0.09261970328433174,0.08663013577461243,51.47033790982577,0.03275659862322619
